Userid,Latitude,Longitude,Smoker,DrinkLevel,DressPreference,Ambience,Transport,MaritalStatus,Children,BirthYear,Interest,Personality,Religion,Activity,Color,Weight,Budget,Height,CuisinePreferences,PaymentMethods
u1017,18.952615,-99.201616,false,casual drinker,formal,family,public,single,independent,1991,retro,hunter_ostentatious,none,professional,orange,79,medium,1.79,chinese,visa/cash
u1018,22.190949,-100.917902,true,casual drinker,formal,friends,public,single,independent,1989,technology,thrifty_protector,christian,student,blue,65,low,1.83,mexican,cash
u1019,22.153385,-100.975294,false,casual drinker,no preference,family,public,single,independent,1989,variety,thrifty_protector,catholic,student,purple,59,medium,1.6,family,cash
u1020,18.878189,-99.222969,false,abstemious,no preference,friends,public,single,independent,1982,technology,hard_worker,catholic,professional,blue,40,medium,1.68,mexican,bank_debit_cards/cash
u1021,23.730569,-99.171883,false,social drinker,no preference,family,car owner,single,dependent,1984,none,hard_worker,catholic,student,purple,108,medium,1.62,burgers/chinese/pizzeria/regional,cash
u1022,22.146708,-100.964355,false,casual drinker,formal,family,car owner,single,independent,1990,variety,hard_worker,catholic,student,purple,46,medium,1.54,mexican,cash
u1023,23.752943,-99.166589,false,casual drinker,informal,friends,car owner,single,independent,1988,none,hard_worker,catholic,student,blue,103,low,1.79,mexican,cash
u1024,22.154021,-100.976028,false,abstemious,no preference,family,public,single,independent,1930,none,hard_worker,none,student,yellow,40,medium,1.2,afghan,bank_debit_cards
u1025,22.125603,-100.907844,false,social drinker,no preference,family,public,single,independent,1990,none,thrifty_protector,catholic,student,red,65,medium,1.79,mexican,american_express
u1026,23.733,-99.133,false,abstemious,formal,family,public,single,independent,1989,technology,hunter_ostentatious,catholic,student,red,49,medium,1.55,mexican,bank_debit_cards/cash
u1027,22.16515,-100.987015,true,social drinker,no preference,family,public,single,independent,1989,retro,thrifty_protector,catholic,student,purple,60,low,1.65,family,cash
u1028,23.752874,-99.169242,false,abstemious,no preference,family,public,single,independent,1989,variety,hard_worker,christian,student,blue,77,medium,1.63,mexican,cash
u1029,22.151796,-100.989075,true,casual drinker,formal,family,public,single,independent,1990,variety,conformist,catholic,student,white,58,low,1.6,mexican,cash
u1030,18.844818,-99.182758,false,casual drinker,formal,family,on foot,single,independent,1991,eco_friendly,hard_worker,catholic,student,black,64,medium,1.75,mexican,cash
u1031,23.735698,-99.159851,false,abstemious,informal,solitary,public,married,kids,1992,none,hard_worker,catholic,unemployed,white,40,medium,1.6,mexican,american_express/cash
u1032,22.169184,-100.986843,false,abstemious,formal,family,public,single,independent,1989,variety,hard_worker,catholic,student,blue,40,medium,1.75,mexican,cash
u1033,22.15,-100.983,false,social drinker,no preference,family,on foot,single,independent,1991,none,hard_worker,none,student,yellow,54,low,1.6,mexican,cash
u1034,22.137178,-101.013169,false,casual drinker,informal,family,public,single,independent,1990,technology,thrifty_protector,catholic,student,yellow,50,medium,1.58,mexican,cash
u1035,18.839671,-99.223897,true,casual drinker,no preference,friends,car owner,single,independent,1985,variety,hunter_ostentatious,none,student,red,69,medium,1.75,family,visa/cash
u1036,22.160572,-100.989418,false,social drinker,informal,family,public,single,independent,1991,none,hard_worker,catholic,student,blue,76,medium,1.7,mexican,cash
u1037,22.15031,-100.900536,false,social drinker,no preference,family,public,single,independent,1990,variety,thrifty_protector,catholic,student,blue,52,low,1.5,mexican,cash
u1038,22.125786,-100.943705,true,social drinker,no preference,family,public,single,independent,1930,variety,thrifty_protector,catholic,student,blue,97,low,1.83,mexican,cash
u1039,23.738067,-99.139906,false,social drinker,no preference,friends,public,single,independent,1989,none,hard_worker,none,student,yellow,83,medium,1.73,regional,cash
u1040,18.895187,-99.18039,false,abstemious,no preference,friends,public,single,independent,1994,none,thrifty_protector,catholic,student,blue,73,medium,1.64,pizzeria,cash
u1041,18.935191,-99.23624,false,abstemious,no preference,friends,on foot,single,independent,1985,eco_friendly,hunter_ostentatious,catholic,professional,white,40,medium,1.62,contemporary,american_express/visa/bank_debit_cards/cash
u1042,18.925773,-99.219589,false,abstemious,no preference,family,car owner,single,independent,1943,technology,thrifty_protector,christian,student,yellow,40,high,1.4,mexican,bank_debit_cards
u1043,23.77103,-99.167082,false,abstemious,no preference,solitary,public,single,independent,1989,technology,hard_worker,none,student,white,60,medium,1.64,latin_american,cash
u1044,18.95298,-99.260789,true,social drinker,informal,family,car owner,married,kids,1969,variety,thrifty_protector,catholic,professional,orange,85,medium,1.73,mexican,mastercard_eurocard/visa/bank_debit_cards/cash
u1045,22.156724,-100.984268,false,casual drinker,elegant,friends,car owner,single,independent,1991,technology,thrifty_protector,mormon,student,orange,68,high,1.6,mexican/middle_eastern/mongolian/moroccan,cash
u1046,22.144415,-100.933097,false,social drinker,no preference,friends,car owner,single,independent,1990,retro,hard_worker,catholic,student,black,82,medium,1.84,bar,cash
u1047,22.142429,-100.949147,false,abstemious,no preference,family,public,single,independent,1992,retro,thrifty_protector,catholic,student,purple,60,medium,1.63,american,cash
u1048,22.142208,-101.022785,true,casual drinker,no preference,family,public,single,independent,1988,eco_friendly,thrifty_protector,none,student,green,65,medium,1.7,mexican,cash
u1049,22.15,-100.983,false,casual drinker,informal,solitary,public,single,independent,1991,none,hard_worker,none,student,blue,55,medium,1.6,mexican,cash
u1050,23.758815,-99.171216,false,social drinker,no preference,family,car owner,single,independent,1989,variety,hard_worker,none,student,green,73,medium,1.71,mexican,cash
u1051,18.877719,-99.22299,false,casual drinker,no preference,family,public,single,independent,1979,variety,thrifty_protector,none,professional,blue,74,medium,1.76,mexican,visa/cash
u1052,22.138055,-100.936005,true,social drinker,no preference,family,on foot,single,independent,1990,none,conformist,catholic,student,blue,85,low,1.8,bakery,cash
u1053,22.175833,-100.986671,false,casual drinker,informal,family,public,single,independent,1990,variety,thrifty_protector,catholic,student,red,66,low,1.72,mexican,cash
u1054,22.150683,-100.975342,false,social drinker,formal,family,public,single,independent,1992,technology,thrifty_protector,catholic,student,blue,59,medium,1.7,mexican,cash
u1055,22.143289,-100.987683,false,abstemious,no preference,family,car owner,married,dependent,1952,none,hard_worker,catholic,professional,blue,70,medium,1.66,breakfast_brunch,cash
u1056,22.168997,-100.974376,false,social drinker,informal,family,on foot,single,independent,1930,none,hard_worker,catholic,student,yellow,61,medium,1.62,mexican,cash
u1057,22.196624,-100.91217,true,casual drinker,formal,friends,public,single,independent,1989,technology,hunter_ostentatious,catholic,student,yellow,69,medium,1.83,american,visa/cash
u1058,22.205802,-100.986081,false,abstemious,formal,family,public,single,independent,1991,variety,hard_worker,catholic,student,red,74,low,1.78,cuban,cash
u1059,18.988278,-99.097023,false,abstemious,formal,friends,on foot,single,independent,1987,technology,thrifty_protector,catholic,student,blue,57,medium,1.69,mexican,cash
u1060,23.715238,-99.158864,false,casual drinker,formal,family,public,single,independent,1991,technology,thrifty_protector,catholic,student,blue,82,medium,1.84,american/burgers/cafe_coffee_shop/cafeteria/fast_food/hot_dogs/italian/juice/mexican/pizzeria/soup/spanish/tex_mex,cash
u1061,22.140388,-100.937321,false,social drinker,no preference,friends,car owner,single,independent,1990,none,hard_worker,catholic,professional,blue,40,medium,1.76,mexican,bank_debit_cards/cash
u1062,22.195826,-101.006317,false,casual drinker,informal,friends,car owner,single,independent,1985,variety,hard_worker,catholic,student,yellow,88,medium,1.68,mexican,visa/cash
u1063,23.745096,-99.164357,false,casual drinker,formal,family,public,single,independent,1988,eco_friendly,conformist,catholic,student,red,80,medium,1.78,mexican,cash
u1064,22.139511,-100.957002,false,casual drinker,formal,solitary,public,single,independent,1991,variety,hunter_ostentatious,none,student,blue,94,medium,1.77,mexican,cash
u1065,23.733665,-99.105617,false,abstemious,formal,friends,public,single,independent,1989,technology,conformist,catholic,student,green,55,medium,1.72,mexican,cash
u1066,18.890695,-99.157104,false,abstemious,informal,solitary,public,single,independent,1986,technology,thrifty_protector,catholic,student,green,45,low,1.45,mexican,bank_debit_cards/cash
u1067,23.752269,-99.168605,false,abstemious,no preference,family,public,single,independent,1987,technology,thrifty_protector,christian,student,green,92,medium,1.73,mexican,cash
u1068,23.752269,-99.168605,false,casual drinker,informal,friends,public,single,independent,1988,technology,thrifty_protector,catholic,student,blue,72,low,1.57,mexican,cash
u1069,19.347641,-99.130229,false,social drinker,no preference,family,public,single,independent,1983,variety,thrifty_protector,catholic,professional,black,60,medium,1.56,mexican,mastercard_eurocard/cash
u1070,23.753237,-99.166868,false,casual drinker,informal,friends,public,single,independent,1991,variety,thrifty_protector,catholic,student,green,47,low,1.6,mexican,cash
u1071,22.154339,-100.975342,false,abstemious,formal,friends,car owner,single,independent,1930,none,hunter_ostentatious,none,student,blue,40,high,1.73,mexican,cash
u1072,18.86826,-99.212033,false,casual drinker,no preference,family,public,single,independent,1984,eco_friendly,thrifty_protector,christian,student,red,50,medium,1.54,mexican,bank_debit_cards/cash
u1073,22.15,-100.983,false,abstemious,informal,solitary,car owner,widow,kids,1989,none,hard_worker,none,unemployed,yellow,118,medium,1.79,american,cash
u1074,18.917,-99.25,true,casual drinker,no preference,family,car owner,single,kids,1967,eco_friendly,hard_worker,catholic,professional,black,68,medium,1.7,sushi,bank_debit_cards/cash
u1075,22.167575,-100.960364,false,casual drinker,informal,family,car owner,single,independent,1991,technology,thrifty_protector,catholic,student,white,68,medium,1.6,mexican,cash
u1076,22.156469,-100.98554,false,social drinker,elegant,family,public,married,kids,1987,technology,thrifty_protector,catholic,student,blue,65,medium,1.71,mexican,visa/bank_debit_cards/cash
u1077,22.156469,-100.98554,false,social drinker,elegant,family,public,married,kids,1987,technology,thrifty_protector,catholic,student,blue,65,medium,1.71,mexican,visa/bank_debit_cards/cash
u1078,22.172109,-100.963199,true,social drinker,informal,solitary,car owner,single,independent,1983,variety,hard_worker,catholic,professional,blue,69,medium,1.69,mexican,visa/bank_debit_cards/cash
u1079,18.917,-99.25,false,abstemious,formal,family,public,single,independent,1992,technology,thrifty_protector,catholic,student,black,53,medium,1.55,mexican,cash
u1080,23.743793,-99.163397,true,social drinker,formal,friends,car owner,single,independent,1987,variety,hard_worker,catholic,student,white,80,low,1.82,mexican,cash
u1081,22.207749,-100.942383,false,casual drinker,informal,family,public,single,independent,1991,variety,hard_worker,catholic,student,green,52,low,1.54,mexican,cash
u1082,23.753061,-99.166095,true,abstemious,informal,friends,public,single,independent,1989,variety,hard_worker,catholic,student,black,63,medium,1.69,mexican,cash
u1083,22.13392,-101.028373,false,abstemious,no preference,family,public,single,independent,1981,none,hard_worker,none,student,yellow,40,medium,1.6,mexican,cash
u1084,22.172524,-101.005758,true,casual drinker,formal,family,public,single,independent,1991,variety,thrifty_protector,catholic,student,red,65,medium,1.6,mexican,cash
u1085,22.196787,-100.936335,false,abstemious,no preference,solitary,car owner,single,independent,1988,technology,thrifty_protector,catholic,student,black,84,medium,1.7,mexican,cash
u1086,22.157281,-100.98444,false,social drinker,no preference,family,car owner,single,independent,1991,variety,hunter_ostentatious,catholic,student,red,49,medium,1.59,italian,visa/bank_debit_cards/cash
u1087,23.753336,-99.167984,false,abstemious,no preference,solitary,public,single,independent,1989,variety,thrifty_protector,catholic,student,black,53,medium,1.55,chinese,cash
u1088,22.142748,-100.940664,false,social drinker,informal,family,on foot,single,independent,1991,none,hard_worker,catholic,student,blue,62,medium,1.6,mexican,bank_debit_cards
u1089,22.162562,-100.99313,true,casual drinker,informal,family,public,single,independent,1990,variety,conformist,catholic,student,white,54,low,1.6,mexican,cash
u1090,22.158473,-100.984268,false,social drinker,no preference,friends,car owner,single,independent,1988,variety,thrifty_protector,catholic,student,blue,50,medium,1.54,tex_mex,cash
u1091,22.154677,-100.949013,false,casual drinker,no preference,family,car owner,single,independent,1989,eco_friendly,thrifty_protector,none,student,red,40,low,1.7,american/mexican,cash
u1092,22.125365,-100.947888,false,abstemious,formal,solitary,public,single,dependent,1990,variety,thrifty_protector,catholic,student,red,70,medium,1.69,game,cash
u1093,18.871654,-99.183251,true,casual drinker,no preference,family,car owner,single,independent,1990,variety,thrifty_protector,catholic,student,blue,80,medium,1.67,japanese,american_express/visa
u1094,23.73944,-99.160548,false,abstemious,informal,friends,public,single,independent,1991,variety,thrifty_protector,catholic,student,green,59,medium,1.71,mexican,cash
u1095,22.179865,-101.018547,false,abstemious,formal,family,public,married,independent,1986,variety,thrifty_protector,catholic,student,blue,65,medium,1.65,italian,cash
u1096,22.1455,-100.939593,false,abstemious,formal,family,public,single,independent,1990,eco_friendly,hard_worker,catholic,student,black,40,medium,1.2,mexican,cash
u1097,22.145471,-100.939588,false,abstemious,formal,family,public,single,independent,1990,variety,hard_worker,catholic,student,black,58,medium,1.64,mexican,cash
u1098,22.182571,-100.963232,false,social drinker,formal,family,public,single,independent,1991,none,thrifty_protector,catholic,student,green,68,medium,1.76,mexican,cash
u1099,22.184862,-100.970535,true,social drinker,informal,family,public,single,independent,1989,technology,conformist,catholic,student,purple,70,high,2.0,mexican,visa/cash
u1100,18.879729,-99.067106,false,casual drinker,formal,friends,public,single,independent,1990,eco_friendly,hard_worker,christian,student,black,40,medium,1.65,mexican,cash
u1101,22.150891,-100.974891,false,casual drinker,no preference,friends,car owner,single,independent,1988,eco_friendly,hunter_ostentatious,catholic,student,white,50,low,1.69,afghan/australian/bar/burgers/cafe_coffee_shop/cafeteria/chinese/contemporary/diner/doughnuts/family/hot_dogs/italian/latin_american/mexican,cash
u1102,22.137131,-100.941151,false,social drinker,no preference,friends,on foot,single,independent,1989,eco_friendly,conformist,none,student,black,90,low,1.78,pizzeria,cash
u1103,23.752265,-99.16859,false,abstemious,formal,friends,public,single,independent,1989,technology,hard_worker,jewish,professional,green,120,medium,1.9,mexican,bank_debit_cards/cash
u1104,22.149005,-100.978153,true,social drinker,no preference,family,car owner,single,independent,1991,technology,hunter_ostentatious,catholic,student,blue,75,medium,1.71,italian,visa/cash
u1105,22.120019,-100.950991,false,social drinker,formal,family,public,single,independent,1991,variety,hard_worker,christian,student,green,40,medium,1.74,cafeteria,cash
u1106,18.927072,-99.173584,false,casual drinker,informal,friends,car owner,single,independent,1930,technology,hard_worker,catholic,professional,blue,65,medium,1.71,barbecue,bank_debit_cards/cash
u1107,23.742409,-99.171889,false,abstemious,no preference,friends,car owner,single,independent,1989,variety,hard_worker,catholic,student,blue,87,high,1.79,mexican,bank_debit_cards/cash
u1108,22.143524,-100.987562,false,abstemious,informal,solitary,public,single,independent,1983,technology,thrifty_protector,catholic,student,blue,76,medium,1.81,american/asian/burgers/cafe_coffee_shop/cafeteria/chinese/deli_sandwiches/dessert_ice_cream/family/fast_food/game/hot_dogs/japanese/latin_american/mexican/pizzeria/seafood/sushi,mastercard_eurocard/visa/cash
u1109,22.303308,-101.05468,false,abstemious,formal,solitary,public,single,independent,1989,eco_friendly,thrifty_protector,catholic,student,blue,57,low,1.72,mexican,cash
u1110,18.871678,-99.183263,false,abstemious,no preference,family,car owner,single,independent,1993,variety,thrifty_protector,catholic,student,red,85,medium,1.75,mexican,cash
u1111,22.143078,-100.908523,true,casual drinker,formal,friends,car owner,single,independent,1991,none,hard_worker,catholic,student,white,69,medium,1.69,mexican,cash
u1112,22.143078,-100.908523,true,casual drinker,formal,friends,car owner,single,independent,1991,none,hard_worker,catholic,student,white,69,medium,1.69,mexican,cash
u1113,22.137343,-100.913935,false,casual drinker,formal,family,public,single,independent,1990,none,thrifty_protector,catholic,student,blue,75,medium,1.73,burgers,visa/cash
u1114,22.177726,-101.014094,false,abstemious,no preference,family,on foot,single,independent,1991,variety,hard_worker,catholic,student,blue,58,medium,1.68,mexican,cash
u1115,22.138127,-100.920512,true,social drinker,elegant,friends,public,single,independent,1990,variety,hard_worker,catholic,student,green,76,low,1.76,regional,cash
u1116,22.156469,-100.98554,false,social drinker,formal,family,public,married,kids,1987,technology,thrifty_protector,catholic,student,blue,40,medium,1.71,mexican,visa/bank_debit_cards/cash
u1117,18.875641,-99.220737,false,abstemious,no preference,friends,public,single,independent,1982,technology,thrifty_protector,catholic,professional,blue,58,medium,1.6,turkish,bank_debit_cards/cash
u1118,18.940062,-99.228172,true,casual drinker,informal,friends,public,single,independent,1987,technology,thrifty_protector,none,student,black,60,medium,1.68,pizzeria,cash
u1119,18.96479,-99.260017,false,abstemious,formal,family,public,single,independent,1992,eco_friendly,thrifty_protector,catholic,student,blue,68,medium,1.68,mexican,cash
u1120,22.121857,-100.904279,false,abstemious,informal,friends,public,single,independent,1930,variety,hard_worker,none,student,green,47,low,1.57,mexican,cash
u1121,18.871674,-99.183253,false,social drinker,no preference,family,public,married,independent,1987,variety,thrifty_protector,catholic,working_class,black,90,medium,1.6,mexican,bank_debit_cards/cash
u1122,22.169601,-100.991821,false,abstemious,no preference,family,public,single,independent,1930,none,hard_worker,none,student,yellow,40,medium,1.2,afghan,cash
u1123,23.753112,-99.168567,false,abstemious,informal,family,public,single,independent,1987,technology,hard_worker,catholic,student,green,110,medium,1.75,mexican,cash
u1124,22.137072,-100.918865,false,casual drinker,informal,friends,public,single,independent,1991,none,hard_worker,catholic,student,blue,51,low,1.2,mexican,cash
u1125,22.19204,-100.956935,false,casual drinker,formal,friends,public,single,independent,1990,technology,hard_worker,catholic,student,white,57,low,1.67,mexican,cash
u1126,22.15421,-100.942233,false,casual drinker,formal,friends,on foot,single,independent,1990,technology,hard_worker,catholic,student,purple,65,low,1.63,mexican,cash
u1127,18.943935,-99.206532,false,abstemious,no preference,solitary,public,single,independent,1992,variety,hard_worker,catholic,student,black,65,low,1.76,mexican,cash
u1128,22.187236,-100.994213,false,casual drinker,no preference,friends,public,single,independent,1986,variety,thrifty_protector,catholic,student,red,66,low,1.72,cafeteria/hot_dogs/mexican/pizzeria,cash
u1129,23.728798,-99.134047,false,casual drinker,no preference,friends,public,single,independent,1989,variety,thrifty_protector,none,student,purple,69,low,1.69,mexican,cash
u1130,23.733,-99.133,false,abstemious,no preference,family,public,single,independent,1989,none,hard_worker,none,student,yellow,40,medium,1.2,mexican,bank_debit_cards
u1131,22.138245,-100.910948,true,social drinker,no preference,friends,car owner,married,kids,1990,eco_friendly,hard_worker,none,student,black,90,medium,1.8,mexican,cash
u1132,22.15,-100.983,false,casual drinker,informal,solitary,public,single,independent,1991,none,hard_worker,none,student,blue,55,medium,1.6,mexican,cash
u1133,18.886698,-99.114979,false,abstemious,no preference,family,car owner,single,independent,1991,none,hard_worker,none,student,orange,60,medium,1.57,mexican,bank_debit_cards/cash
u1134,22.149654,-100.99861,false,casual drinker,no preference,family,public,single,independent,1991,variety,hard_worker,catholic,student,black,52,medium,1.65,mexican,cash
u1135,22.170396,-100.949936,false,casual drinker,informal,family,on foot,single,kids,1988,variety,hunter_ostentatious,catholic,student,purple,66,low,1.54,afghan/african/american/armenian/asian/australian/austrian/bagels/bakery/bar/bar_pub_brewery/barbecue/basque/brazilian/breakfast_brunch/british/burgers/burmese/cafe_coffee_shop/cafeteria/cajun_creole/california/cambodian/canadian/caribbean/chilean/chinese/contemporary/continental_european/cuban/deli_sandwiches/dessert_ice_cream/dim_sum/diner/doughnuts/dutch_belgian/eastern_european/eclectic/ethiopian/family/fast_food/filipino/fine_dining/french/fusion/game/german/greek/hawaiian/hot_dogs/hungarian/indian_pakistani/indigenous/indonesian/international/irish/israeli/italian/jamaican/japanese/juice/korean/kosher/latin_american/lebanese/malaysian/mediterranean/mexican/middle_eastern/mongolian/moroccan/north_african/organic_healthy/pacific_northwest/pacific_rim/persian/peruvian/pizzeria/polish/polynesian/portuguese/regional/romanian/russian_ukrainian/scandinavian/seafood/soup/southeast_asian/southern/southwestern/spanish/steaks/sushi/swiss/tapas/tea_house/tex_mex/thai/tibetan/tunisian/turkish/vegetarian/vietnamese,cash
u1136,22.149607,-100.997235,true,social drinker,no preference,friends,car owner,single,independent,1990,retro,thrifty_protector,catholic,student,black,50,low,1.6,mexican,cash
u1137,22.144803,-100.944623,false,social drinker,formal,family,public,single,independent,1989,eco_friendly,hard_worker,catholic,student,blue,72,low,1.78,mexican,cash
u1138,22.152884,-100.939663,false,social drinker,formal,friends,public,single,independent,1991,variety,thrifty_protector,none,student,blue,54,medium,1.55,pizzeria,cash
