Restaurantid,Hoursweekdays,Hourssaturday,Hourssunday,Parking,Payment,Cuisine,Latitude,Longitude,TheGeomMeter,Name,City,State,Country,Alcohol,SmokingArea,DressCode,Accessibility,Price,Rambience,Franchise,Area,OtherServices
135109,08:00-21:00;,08:00-21:00;,08:00-21:00;,none,cash,Italian,18.9217848,-99.2353499,0101000020957F0000A6BF695F136F5AC1DADF87B205564A41,Paniroles,Cuernavaca,Morelos,Mexico,wine_beer,not_permitted,informal,no_accessibility,medium,quiet,False,closed,internet
135034,13:30-23:00;,13:30-23:00;,13:30-19:00;,none,american_express/cash/mastercard_eurocard/visa,Japanese,22.140517,-101.021422,0101000020957F000026D92BB4894858C161A7552DA2B04B41,Michiko Restaurant Japones,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,none,informal,no_accessibility,medium,familiar,False,closed,none
135032,07:00-23:30;,07:00-23:30;,07:00-23:30;,public,cash/mastercard_eurocard/visa,Cafeteria/Contemporary,22.152481,-100.973486,0101000020957F000017D69FF5084858C1A8F2188740A24B41,Cafeteria Y Restaurant El Pacifico,San Luis Potosi,San Luis Potosi,Mexico,wine_beer,section,informal,no_accessibility,medium,familiar,False,closed,none
135030,00:00-00:00;,00:00-00:00;,00:00-00:00;,none,cash,Cafe-Coffee_Shop/Cafeteria,22.14788,-100.989472,0101000020957F0000C57C76034C4858C10E437A7E15A74B41,Preambulo Wifi Zone Cafe,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,none,informal,no_accessibility,medium,quiet,False,closed,internet
135028,13:00-23:30;,13:00-23:30;,13:00-19:00;,none,american_express/cash/mastercard_eurocard/visa,Mexican,22.146658,-100.987219,0101000020957F0000B4F00BDD8B4858C10AC3619C83A64B41,La Virreina,San Luis Potosi,San Luis Potosi,Mexico,wine_beer,none,informal,no_accessibility,medium,familiar,False,closed,none
135027,08:00-22:00;,08:00-23:00;,08:00-19:00;,none,american_express/cash/mastercard_eurocard/visa,Mexican,22.147145,-100.974494,0101000020957F000087BEDDE8D24858C1B20CDB33DBA24B41,Restaurant Orizatlan,San Luis Potosi,San Luis Potosi,Mexico,wine_beer,none,informal,no_accessibility,medium,familiar,False,closed,none
135026,13:30-23:30;,13:30-23:30;,00:00-00:00;,none,cash/visa,Bar/Bar_Pub_Brewery,22.148665,-101.001273,0101000020957F0000C75F8790D94758C1FF8BCA0567AA4B41,La Cantina,San Luis Potosi,San Luis Potosi,Mexico,full_bar,none,informal,no_accessibility,high,familiar,False,closed,none
135025,18:00-23:30;,14:00-23:30;,00:00-00:00;,none,american_express/cash/mastercard_eurocard/visa,Mexican,22.14955,-100.97797,0101000020957F0000C7080D105C4858C108B4006AB4A34B41,El Rincon De San Francisco,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,none,informal,no_accessibility,medium,familiar,False,closed,none
135021,00:00-23:30;,00:00-23:30;,00:00-23:30;,public,cash,Fast_Food,18.933537,-99.222497,0101000020957F00005645259D836D5AC11EF994E27F514A41,Subway,Cuernavaca,Morelos,Mexico,no_alcohol_served,not_permitted,informal,no_accessibility,low,familiar,True,closed,none
135019,00:00-00:00;,00:00-00:00;,00:00-00:00;,none,bank_debit_cards/cash/visa,Bar,18.875011,-99.159422,0101000020957F0000B49B2E5C6E785AC12F9D584352414A41,Restaurant Bar Coty Y Pablo,Jiutepec,Morelos,Mexico,no_alcohol_served,none,informal,completely,low,familiar,False,closed,none
135018,00:00-00:00;,00:00-00:00;,00:00-00:00;,yes,bank_debit_cards/cash/mastercard_eurocard/visa,Mexican,18.859803,-99.222164,0101000020957F0000C015D38251795AC1D8D396893A554A41,El Oceano Dorado,Cuernavaca,Morelos,Mexico,full_bar,permitted,informal,completely,medium,familiar,False,open,variety
134999,11:00-21:00;,11:00-21:00;,11:00-21:00;,none,cash/mastercard_eurocard/visa,Japanese,18.915421,-99.184871,0101000020957F000088568DE356715AC138C0A525FC464A41,Kiku Cuernavaca,Cuernavaca,Morelos,Mexico,no_alcohol_served,none,informal,no_accessibility,medium,familiar,False,closed,none
134986,00:00-23:30;,00:00-23:30;,00:00-23:30;,yes,american_express/cash/visa,International,18.928798,-99.239513,0101000020957F00002A0D05E2D96D5AC1AB058CB1EC564A41,Restaurant Las Mananitas,Cuernavaca,Morelos,Mexico,wine_beer,none,formal,no_accessibility,high,familiar,False,closed,none
134983,13:00-23:30;,13:00-23:30;,13:00-19:00;,yes,cash/mastercard_eurocard/visa,Bar/Bar_Pub_Brewery,18.948657,-99.235361,0101000020957F0000DEF36F4FC76A5AC162B083D9A0544A41,Restaurant And Bar And Clothesline Carlos N Charlies,Cuernavaca,Morelos,Mexico,full_bar,section,informal,no_accessibility,high,familiar,False,closed,none
134976,18:00-23:30;,09:00-12:00;,19:00-02:00;,yes,american_express/checks/mastercard_eurocard/visa,Burgers/Mediterranean/Mexican,18.916654,-99.22711,0101000020957F00002838E29F19705AC1BC368BDAC7534A41,Log Yin,Cuernavaca,Morelos,Mexico,no_alcohol_served,none,informal,no_accessibility,low,familiar,False,closed,none
132958,10:00-23:30;,10:00-23:30;,10:00-23:30;,none,american_express/bank_debit_cards/cash/mastercard_eurocard/visa,American,22.1449787,-101.0056829,0101000020957F000049095EB34A4858C15CB4BD1EE1AB4B41,Tacos Los Volcanes,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,none,informal,completely,low,quiet,True,closed,none
132955,00:00-23:30;,00:00-23:30;,00:00-23:30;,none,bank_debit_cards/carte_blanche/cash/mastercard_eurocard/visa,Bar_Pub_Brewery,22.147622,-101.0102749,0101000020957F000068BE7C87C24758C1920A360A08AD4B41,Emilianos,San Luis Potosi,Mexico City,Mexico,wine_beer,none,informal,completely,low,familiar,True,closed,variety
132954,08:00-22:30;,08:00-15:30;,08:00-13:00;,yes,bank_debit_cards/cash/mastercard_eurocard/visa,Breakfast-Brunch,22.1603808,-100.9880447,0101000020957F0000F78F04596C4658C1C151AA1AEFA54B41,La Parroquia,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,not_permitted,informal,partially,medium,familiar,True,closed,none
132951,00:00-23:30;,00:00-23:30;,00:00-23:30;,yes,cash,American,22.1544736,-100.9858091,0101000020957F0000BAC859A0634758C1C3E84FCAA5A54B41,Vips,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,not_permitted,casual,completely,low,familiar,False,closed,none
132937,21:00-02:00;,21:00-02:00;,16:00-23:30;,none,cash,Bar,22.1500193,-100.9799203,0101000020957F0000F9F19DDC3B4858C191B265A83BA44B41,Rockabilly,San Luis Potosi,San Luis Potosi,Mexico,full_bar,section,informal,completely,low,quiet,False,closed,variety
132925,09:00-21:00;,09:00-21:00;,09:00-21:00;,none,cash,Mexican,22.1534997,-100.976243,0101000020957F00001EF62687CD4758C1BE336F4EFAA24B41,El Pueblito,San Luis Potosí,San Luis Potosí,Mexico,wine_beer,not_permitted,informal,completely,medium,familiar,False,closed,none
132922,19:00-23:00;,19:00-23:00;,19:00-23:00;,none,cash,Cafeteria,22.1511348,-100.9823115,0101000020957F000060A98A38FF4758C146718E41D9A44B41,Cafe Punta Del Cielo,San Luis Potosí,San Luis Potosí,Mexico,no_alcohol_served,permitted,formal,completely,medium,familiar,False,closed,none
132921,01:00-20:30;,01:00-23:30;,01:00-23:30;,none,cash,Bar,22.150305,-100.9891337,0101000020957F00006376BB64EF4758C1013687E5D7A64B41,Crudalia,San Luis Potosí,San Luis Potosí,Mexico,wine_beer,section,casual,completely,low,quiet,False,open,none
132885,08:00-23:30;,08:00-23:30;,08:00-23:30;,public,cash,Cafeteria,22.1795169,-100.9584358,0101000020957F0000B1DA6F2D504458C112A26CA45B9C4B41,Hamburguesas Saul,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,none,informal,completely,low,familiar,False,closed,none
132875,00:00-23:30;,00:00-23:30;,00:00-23:30;,valet parking,american_express/bank_debit_cards/cash/mastercard_eurocard/visa,Japanese,22.1499013,-100.9937793,0101000020957F00008A2A0747DE4758C11EB31D2A31A84B41,Shi Ro Ie,San Luis Potosí,San Luis Potosí,Mexico,wine_beer,section,informal,no_accessibility,high,familiar,True,open,internet
132872,09:00-21:00;,09:30-21:00;,00:00-00:00;,public,bank_debit_cards/cash,American,22.1735955,-100.9946027,0101000020957F0000942C3434384458C1C2D3499804A74B41,Pizzeria Julios,San Luis Potosi,Mexico City,Mexico,no_alcohol_served,not_permitted,informal,partially,medium,familiar,False,closed,none
132870,10:30-23:00;,10:30-23:00;,10:30-23:00;,none,cash,Burgers,22.1430781,-100.9354788,0101000020957F0000550FC1FC854A58C16D7D4E35F8974B41,Tortas Y Hamburguesas El Gordo,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,not_permitted,informal,no_accessibility,low,familiar,False,closed,none
132869,10:00-23:00;,10:00-23:00;,10:00-23:00;,yes,cash,Pizzeria,22.1412384,-100.9239252,0101000020957F0000BC62C18D1F4B58C169E0A959C8944B41,Dominos Pizza,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,not_permitted,informal,no_accessibility,medium,familiar,False,closed,none
132866,09:00-22:00;,09:00-22:00;,09:00-22:00;,yes,cash,Bakery/Cafeteria,22.1412198,-100.9313107,0101000020957F000013871838EC4A58C1B5DF74F8E3964B41,Chaires,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,not_permitted,informal,completely,medium,familiar,False,closed,none
132862,09:30-23:30;,09:30-23:30;,09:30-23:30;,valet parking,american_express/bank_debit_cards/cash/mastercard_eurocard/visa,International,22.1506429,-100.9870148,0101000020957F0000AF95272CF14758C165B2F91238A64B41,La Posada Del Virrey,San Luis Potosi,San Luis Potosi,Mexico,wine_beer,none,casual,completely,high,familiar,False,closed,none
132861,10:00-23:30;,10:00-23:30;,10:00-23:30;,yes,american_express/bank_debit_cards/cash/mastercard_eurocard/visa,Burgers,22.1480965,-101.0173023,0101000020957F000074BBAF047E4758C1424B73C701AF4B41,Carls Jr,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,not_permitted,informal,completely,medium,familiar,True,closed,none
132858,18:30-23:30;,18:30-23:30;,18:30-23:30;,none,cash,Burgers,22.1312917,-100.9371941,0101000020957F0000608CF6D8474C58C1DBF7C50028994B41,Hamburguesas Valle Dorado,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,none,informal,completely,low,familiar,False,closed,none
132856,10:30-22:30;,10:30-22:30;,10:30-22:30;,none,cash,Italian,22.1513782,-100.9746337,0101000020957F0000C1B7D30B2C4858C1CE557111A5A24B41,Unicols Pizza,San Luis Potosi,San Luis Potosi,Mexico,wine_beer,none,informal,completely,low,familiar,False,closed,none
132854,10:30-22:00;,10:30-22:00;,10:30-22:00;,yes,bank_debit_cards/cash/visa,International,22.1378633,-100.9383273,0101000020957F0000FEC3FB453E4B58C19B4A463617994B41,Sirlone,San Luis Potosi,San Luis Potosi,Mexico,wine_beer,none,informal,completely,medium,familiar,False,closed,none
132851,09:00-22:00;,09:00-22:00;,09:00-22:00;,yes,cash,American/Game,22.136872,-100.9345736,0101000020957F0000C74DE39C7F4B58C1061F291714984B41,Kfc,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,not_permitted,informal,completely,low,familiar,False,closed,none
132846,08:00-23:30;,08:00-23:30;,08:00-23:30;,none,cash,International,22.1422732,-100.9426537,0101000020957F000065D51EE7724A58C1B688A454109A4B41,El Lechon Potosino,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,permitted,casual,no_accessibility,low,familiar,False,open,none
132845,19:30-23:30;,19:30-23:30;,19:30-23:30;,none,cash,Mexican,22.1262926,-100.9007764,0101000020957F0000B230F8670C4E58C1D590A2700F8F4B41,Cenaduria El Rincon De Tlaquepaque,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,none,informal,no_accessibility,medium,familiar,False,closed,none
132834,08:30-15:00;,00:00-23:30;,00:00-23:30;,public,cash,Mexican,22.156469,-100.98554,0101000020957F00007768135A174758C155D318CB73A54B41,Gorditas Doa Gloria,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,not_permitted,casual,no_accessibility,low,familiar,False,closed,none
132825,09:00-12:00;,09:00-12:00;,09:00-12:00;,none,cash,Mexican,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,Puesto De Tacos,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,none,informal,completely,low,familiar,False,open,none
132773,10:00-18:00;,10:00-13:00;,10:00-13:00;,none,cash,Family/Mexican,18.8699929,-99.2103195,0101000020957F0000B1F935F9FA775AC1D06DFD1017514A41,El Cotorreo,Cuernavaca,Morelos,Mexico,wine_beer,permitted,informal,no_accessibility,low,familiar,False,open,none
132768,09:00-19:00;,10:00-18:00;,10:00-19:00;,none,bank_debit_cards/cash,Family,18.9257734,-99.2326355,0101000020957F000000DD3546816E5AC119D4BD17FD544A41,Mariscos Tia Licha,Cuernavaca,Morelos,Mexico,no_alcohol_served,not_permitted,casual,partially,medium,familiar,True,closed,none
132767,14:00-20:00;,14:00-23:30;,12:30-23:30;,yes,american_express/cash/visa,Vietnamese,18.8820871,-99.1630268,0101000020957F00001672C2C435775AC1F69BF2EF0D424A41,Restaurant Familiar El Chino,Jiutepec,Morelos,Mexico,wine_beer,permitted,casual,partially,medium,familiar,False,open,variety
132766,00:00-23:30;,00:00-23:30;,00:00-23:30;,yes,cash,Japanese,18.9101777,-99.2315438,0101000020957F000043A319BA06715AC19443369877554A41,Mikasa,Cuernavaca,Morelos,Mexico,wine_beer,none,informal,no_accessibility,medium,familiar,False,closed,none
132755,00:00-23:30;,00:00-23:30;,00:00-23:30;,public,american_express/bank_debit_cards/cash/visa,Mexican,22.153324,-101.0195459,0101000020957F000026CADE45A14658C1F011EBCA55AF4B41,La Estrella De Dimas,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,none,informal,partially,medium,familiar,False,closed,variety
132754,08:00-20:00;,08:00-20:00;,08:00-18:00;,none,cash,Mexican,22.1477379,-100.9906163,0101000020957F00002493B678494858C1AD55D2316BA74B41,Cabana Huasteca,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,none,informal,partially,medium,familiar,False,closed,none
132740,08:30-12:00;,08:30-12:00;,08:30-12:00;,none,cash,Mexican,23.7521965,-99.1666317,0101000020957F000027A30471EE8157C1AC17D61EC84E4941,Carreton De Flautas Y Migadas,Ciudad Victoria,Tamaulipas,Mexico,no_alcohol_served,permitted,informal,completely,low,familiar,False,open,none
132733,10:30-22:30;,10:30-22:30;,09:00-21:00;,yes,bank_debit_cards/cash/mastercard_eurocard/visa,Pizzeria,23.7527071,-99.1625655,0101000020957F0000F2F4110CF28157C1DCFD7C1BA04D4941,Little Cesarz,Ciudad Victoria,Tamaulipas,Mexico,no_alcohol_served,not_permitted,informal,completely,medium,familiar,True,closed,none
132732,19:00-01:00;,19:00-01:00;,19:00-01:00;,none,cash,Mexican,23.7543569,-99.171288,0101000020957F00008A20E615808157C16272FECBF84F4941,Taqueria El Amigo,Ciudad Victoria,Tamaulipas,Mexico,no_alcohol_served,none,casual,completely,low,familiar,False,open,none
132723,06:30-15:00;,00:00-23:30;,00:00-23:30;,public,cash/visa,Mexican,22.1489337,-101.019845,0101000020957F0000B366C9254B4758C191987F9CAEAF4B41,Gordas De Morales,San Luis Potosí,San Luis Potosí,Mexico,full_bar,section,informal,completely,medium,familiar,False,closed,none
132717,09:30-21:30;,09:30-21:30;,09:30-21:30;,public,cash,Fast_Food,23.7318602,-99.1504365,0101000020957F0000B21C3F6C5E8557C188ACCF0A444B4941,Tortas Hawai,Ciudad Victoria,Tamaulipas,Mexico,no_alcohol_served,not_permitted,informal,partially,medium,familiar,False,closed,none
132715,09:00-16:00;,09:00-16:00;,09:00-16:00;,none,cash,Mexican,23.7324226,-99.1586602,0101000020957F00004609B96F198557C11973490A874D4941,Tacos De La Estacion,Ciudad Victoria,Tamaulipas,Mexico,no_alcohol_served,none,informal,no_accessibility,low,quiet,False,open,none
132706,09:00-20:00;,09:00-20:00;,09:00-20:00;,public,cash/visa,Mexican,23.7292162,-99.1323571,0101000020957F00000F14BF6B2C8657C1963CCB8E5C464941,Gorditas Dona Tota,Ciudad Victoria,Tamaulipas,Mexico,no_alcohol_served,not_permitted,informal,no_accessibility,medium,familiar,True,closed,none
132668,00:00-23:30;,00:00-23:30;,00:00-23:30;,none,american_express/cash,Mexican,23.738212,-99.1519547,0101000020957F000003B195E25F8457C1C535BD04614B4941,Tacos El Guero,Ciudad Victoria,Tamaulipas,Mexico,no_alcohol_served,none,informal,completely,low,familiar,False,closed,none
132667,00:00-23:30;,00:00-23:30;,00:00-23:30;,none,cash,Armenian,23.7526973,-99.1633594,0101000020957F00005D67BCDDED8157C1222A2DC8D84D4941,Little Pizza Emilio Portes Gil,Ciudad Victoria,Tamaulipas,Mexico,no_alcohol_served,none,informal,completely,low,familiar,True,closed,none
132665,00:00-23:30;,00:00-23:30;,00:00-23:30;,none,bank_debit_cards/carte_blanche/cash/mastercard_eurocard/visa,Mexican,23.7367977,-99.1342413,0101000020957F00007AED0830FC8457C122F85F7B84464941,Tacos Correcaminos,Ciudad Victoria,Tamaulipas,Mexico,no_alcohol_served,none,informal,completely,low,familiar,False,closed,none
132663,00:00-23:30;,00:00-23:30;,00:00-23:30;,none,american_express/checks/mastercard_eurocard/visa,Mexican,23.7525107,-99.1669536,0101000020957F0000FDF8D26EE08157C1FEDB6A1FDB4E4941,Tacos Abi,Ciudad Victoria,Tamaulipas,Mexico,no_alcohol_served,none,informal,completely,low,familiar,False,closed,none
